,pred
0,347851.6390091014
1,2050152.169593961
2,667056.5824951062
3,327550.86058538395
4,586174.2412699973
5,750616.0071753277
6,384983.1560788854
7,186589.68296031444
8,1339626.172065268
9,405305.6800279649
10,1366536.4659225564
11,587793.6797376712
12,779093.9083757518
13,382947.36284137715
14,986898.1850330221
15,550188.4672351554
16,416821.28777343594
17,426945.17908781493
18,1719630.1578083942
19,1427116.647446519
20,343861.3152277817
21,540144.2554991391
22,258569.41907763408
23,458738.86265015835
24,867401.1626497062
25,1489873.465750624
26,419837.9542056602
27,403952.15287461656
28,991524.5993249923
29,467252.2088879185
30,600856.9955418915
31,632015.1616230846
32,633512.8738035561
33,761749.2591347462
34,398842.7957438519
35,1205957.7396170697
36,157004.75126442983
37,500328.9467211578
38,805591.5856798557
39,306388.25483499817
40,224364.2103899208
41,202366.74657539444
42,679568.7796850268
43,1287941.88127205
44,861074.362794876
45,1046565.2907248823
46,1119107.6673037705
47,1012247.6149010456
48,670816.3428632411
49,436597.66103424504
50,315059.61024865543
51,552448.7727680573
52,813758.2084857454
53,210899.17523739542
54,600678.4229137012
55,625229.4514988126
56,512321.0489553991
57,1412513.7502485698
58,405840.80906371237
59,672598.1049519219
60,539488.0230538415
61,976987.7257736577
62,629172.6472963365
63,1104708.814594877
64,622724.6506230078
65,552223.7318815703
66,1636090.0401299049
67,1121617.403437639
68,593975.6702646723
69,191533.86269957182
70,258569.41907763408
71,193384.30649034472
72,242949.92420062108
73,522754.1751300751
74,313011.4958334498
75,1139254.7135329137
76,436694.08072337904
77,717374.7018298901
78,275028.44143800647
79,396322.01608937554
80,182959.8624344749
81,1308422.8422634567
82,630854.4840137865
83,2408152.983423602
84,610199.1841882375
85,210896.33873410165
86,464006.31587772374
87,361663.4424675868
88,923264.5864153728
89,921890.6508457969
90,1220812.1116833612
91,544381.2389700698
92,344514.0762437509
93,390528.0210215062
94,310198.2121937784
95,510714.1770030542
96,464006.31587772374
97,395987.725952523
98,874680.735702835
99,1506536.1178126647
100,1458430.5137314363
101,1514790.6328600124
102,778659.8737033947
103,305324.9974256722
104,1486739.0273537328
105,1035666.9955829958
106,1094586.4592025978
107,759776.4139066302
108,574420.4094402079
109,421312.9745556109
110,453141.78858414496
111,616022.4463039221
112,493484.3889687074
113,485056.6354175659
114,243927.11880881674
115,653842.9837432612
116,838951.7982260041
117,564516.8685243226
118,2277400.0064200824
119,1116121.3921146786
120,798930.5834288687
121,1099575.5608221174
122,521579.3554849881
123,852967.4198944803
124,1242149.2122612542
125,1140560.0962733736
126,411792.8425721799
127,801941.277887838
128,739034.5748660113
129,562030.7548465796
130,456229.4510293371
131,2560333.231953807
132,1474128.266801718
133,505800.38353549974
134,983448.0544067253
135,904344.2591407322
136,1219313.3413930363
137,768813.6569610245
138,2366498.9423557315
139,241778.17970667634
140,267419.6231616355
141,521508.65295694734
142,436986.53695838107
143,283039.2557802476
144,350491.79429258074
145,951733.5021398204
146,743929.4840435869
147,722603.992007009
148,212765.5183256009
149,336458.7805086203
150,513743.27398230846
151,226202.62080039587
152,419092.6148531148
153,315925.9779234618
154,572912.814234217
155,358152.0916649496
156,393857.66758360324
157,482301.8046090234
158,581292.0015641403
159,603966.5719925977
160,441057.99062403326
161,872495.8101678314
162,711954.444248057
163,612559.8024125374
164,406570.7783626257
165,295418.251079565
166,208106.15714019112
167,265695.36652017507
168,309430.1404148671
169,429751.0977750363
170,590107.8104951925
171,429301.46074382967
172,1866981.625491231
173,788877.957568271
174,582043.8891079985
175,817026.421778348
176,435040.79177164665
177,727790.2322556635
178,1709520.8198781814
179,421871.5883467638
180,272887.76129583723
181,959948.3625312137
182,446541.183913834
183,635095.7428692273
184,352693.41973272583
185,706285.8526046196
186,2464090.3886726066
187,332172.12090791034
188,890138.4959722139
189,1053265.9425702107
190,436534.4922625624
191,495075.0595187182
192,355336.5847524493
193,287067.20036510925
194,603894.8114223683
195,513024.7964376797
196,1002755.3647071127
197,296569.27989045065
198,345128.37128896354
199,553669.1488840505
200,773396.4621603503
201,754128.5235121715
202,466373.23766377784
203,700524.9023061745
204,273051.38257169956
205,1061831.0375271926
206,969578.8228035914
207,364733.2080303707
208,1861010.0795249552
209,481429.92616703204
210,1405187.0320851156
211,488752.29686366627
212,527060.6218768143
213,361982.43536877085
214,662971.1946206042
215,213410.15494898695
216,1624459.0953318519
217,354963.2517644965
218,505441.56239142176
219,813769.1280236266
220,719874.463244712
221,777367.28023611
222,465560.293617927
223,1127562.685529837
224,451674.00620635453
225,387155.96716978756
226,758995.3345627553
227,805534.5740391872
228,521023.3761247538
229,1626237.588845991
230,460091.59433092707
231,379808.45385547116
232,608067.4316347297
233,747074.3544711253
234,740982.5068360138
235,921864.5107685314
236,435018.7991817702
237,1039824.6294944948
238,302646.7163621896
239,510634.83631040517
240,274907.9790669007
241,529169.8308544169
242,1294922.6815157754
243,370787.2149784982
244,562738.369252943
245,1658177.2765917676
246,793886.4672077377
247,373854.0007782565
248,544483.7533259601
249,1690407.6548502361
250,749817.4223164963
251,853725.2601348116
252,294090.5008408715
253,2888020.14780179
254,555563.5719933903
255,663419.0636109305
